ID,Practice,RT,ACC,Congruency,Coherence
24,0,1171.09999990463,1,0,0.2
24,0,789.5,1,1,0.3
24,0,720.700000047684,1,0,0.6
24,0,647,1,1,0.6
24,0,781.700000047684,1,1,0.9
24,0,1798.40000009537,1,1,0.3
24,0,1762.70000004768,1,0,0.3
24,0,670.900000095367,1,1,0.9
24,0,629.200000047684,1,1,0.9
24,0,799.700000047684,1,0,0.6
24,0,657.5,1,0,0.3
24,0,891.600000143051,1,0,0.3
24,0,1892.20000004768,1,1,0.2
24,0,613.099999904633,1,1,0.9
24,0,595.5,1,0,0.9
24,0,693.400000095367,1,0,0.3
24,0,685.299999952316,1,1,0.2
24,0,765.899999856949,1,1,0.2
24,0,729.299999952316,1,0,0.6
24,0,920.200000047684,1,1,0.6
24,0,647.400000095367,1,0,0.9
24,0,755.799999952316,1,1,0.6
24,0,873.299999952316,1,1,0.2
24,0,689.599999904633,1,1,0.3
24,0,726.299999952316,1,0,0.9
24,0,676.399999856949,1,0,0.6
24,0,1122.89999985695,1,0,0.9
24,0,768.799999952316,1,0,0.6
24,0,824.900000095367,1,1,0.2
24,0,749,1,1,0.6
24,0,1159.40000009537,1,0,0.2
24,0,791.399999856949,1,1,0.6
24,0,2133.39999985695,1,1,0.3
24,0,783.5,1,1,0.6
24,0,505.200000047684,1,1,0.3
24,0,548.600000143051,1,1,0.3
24,0,1162.30000019073,1,1,0.2
24,0,1405.29999995232,1,0,0.3
24,0,902.300000190735,1,0,0.6
24,0,796.799999952316,1,0,0.2
24,0,710.400000095367,1,1,0.9
24,0,593.199999809265,0,0,0.2
24,0,876,1,1,0.3
24,0,803,1,0,0.6
24,0,723,1,0,0.6
24,0,914,1,1,0.9
24,0,563.799999952316,1,0,0.9
24,0,741,1,0,0.2
24,0,717.700000047684,1,0,0.3
24,0,494.699999809265,1,0,0.9
24,0,2047.40000009537,1,0,0.3
24,0,1036.20000004768,1,0,0.3
24,0,537.900000095367,1,0,0.9
24,0,610.300000190735,1,1,0.9
24,0,886.900000095367,0,0,0.2
24,0,645.5,1,0,0.2
24,0,551.099999904633,1,0,0.9
24,0,679.200000047684,1,0,0.2
24,0,869.200000047684,1,1,0.2
24,0,1102.5,1,1,0.6
24,0,599.300000190735,1,1,0.6
24,0,578.200000047684,1,1,0.3
24,0,564.099999904633,1,1,0.2
24,0,752.799999952316,1,1,0.9
24,0,738.599999904633,1,0,0.3
24,0,530.600000143051,1,0,0.3
24,0,556.900000095367,1,1,0.9
24,0,579.700000047684,1,1,0.3
24,0,1180.59999990463,1,1,0.3
24,0,946.5,1,0,0.6
24,0,664,1,1,0.9
24,0,937.600000143051,1,0,0.2
24,0,548.599999904633,1,1,0.9
24,0,1184.59999990463,1,1,0.2
24,0,815.699999809265,1,0,0.6
24,0,753,1,0,0.3
24,0,725.400000095367,1,0,0.2
24,0,903.399999856949,1,0,0.2
24,0,566.299999952316,1,0,0.6
24,0,857,1,0,0.3
24,0,584.900000095367,1,1,0.6
24,0,915.899999856949,1,0,0.3
24,0,805.200000047684,1,1,0.2
24,0,689.100000143051,1,1,0.2
24,0,771.399999856949,1,0,0.6
24,0,858.899999856949,1,1,0.3
24,0,539.600000143051,1,0,0.6
24,0,578.899999856949,1,0,0.2
24,0,575.700000047684,1,0,0.9
24,0,551.299999952316,1,1,0.9
24,0,682,1,0,0.9
24,0,649.899999856949,1,0,0.6
24,0,466.800000190735,1,0,0.6
24,0,989.200000047684,1,1,0.3
24,0,615.5,1,0,0.6
24,0,681.599999904633,1,1,0.9
24,0,1536.09999990463,1,0,0.3
24,0,582.899999856949,1,0,0.3
24,0,535.699999809265,1,1,0.6
24,0,460,1,1,0.6
24,0,515.900000095367,1,0,0.9
24,0,721.400000095367,1,1,0.2
24,0,529.799999952316,1,1,0.6
24,0,521.099999904633,1,1,0.2
